T,E/T^4,P/T^4,s/T^3,MuB,TraceA,MuB/T,nB/T^3
0.125,2.092,0.348,2.44,0,1.048,0,0
0.126,2.153,0.3566,2.51,0,1.0832,0,0
0.127,2.217,0.3654,2.582,0,1.1208,0,0
0.128,2.282,0.3743,2.656,0,1.1591,0,0
0.129,2.349,0.3836,2.733,0,1.1982,0,0
0.13,2.417,0.393,2.81,0,1.238,0,0
0.131,2.486,0.4027,2.889,0,1.2779,0,0
0.132,2.557,0.4127,2.969,0,1.3189,0,0
0.133,2.63,0.4229,3.053,0,1.3613,0,0
0.134,2.706,0.4333,3.139,0,1.4061,0,0
0.135,2.786,0.444,3.23,0,1.454,0,0
0.136,2.871,0.4549,3.325,0,1.5063,0,0
0.137,2.958,0.466,3.424,0,1.56,0,0
0.138,3.048,0.4773,3.526,0,1.6161,0,0
0.139,3.139,0.489,3.628,0,1.672,0,0
0.14,3.229,0.501,3.73,0,1.726,0,0
0.141,3.317,0.5134,3.831,0,1.7768,0,0
0.142,3.405,0.526,3.931,0,1.827,0,0
0.143,3.493,0.5389,4.032,0,1.8763,0,0
0.144,3.583,0.5519,4.135,0,1.9273,0,0
0.145,3.675,0.565,4.24,0,1.98,0,0
0.146,3.771,0.5781,4.349,0,2.0367,0,0
0.147,3.869,0.5914,4.46,0,2.0948,0,0
0.148,3.969,0.6049,4.574,0,2.1543,0,0
0.149,4.068,0.6187,4.687,0,2.2119,0,0
0.15,4.167,0.633,4.8,0,2.268,0,0
0.151,4.263,0.6479,4.911,0,2.3193,0,0
0.152,4.358,0.6633,5.021,0,2.3681,0,0
0.153,4.451,0.6791,5.131,0,2.4137,0,0
0.154,4.545,0.6954,5.24,0,2.4588,0,0
0.155,4.638,0.712,5.35,0,2.502,0,0
0.156,4.732,0.7289,5.461,0,2.5453,0,0
0.157,4.828,0.746,5.574,0,2.59,0,0
0.158,4.925,0.7633,5.688,0,2.6351,0,0
0.159,5.023,0.7806,5.803,0,2.6812,0,0
0.16,5.122,0.798,5.92,0,2.728,0,0
0.161,5.223,0.8153,6.038,0,2.7771,0,0
0.162,5.326,0.8327,6.158,0,2.8279,0,0
0.163,5.431,0.8502,6.282,0,2.8804,0,0
0.164,5.541,0.868,6.409,0,2.937,0,0
0.165,5.654,0.886,6.54,0,2.996,0,0
0.166,5.772,0.9044,6.676,0,3.0588,0,0
0.167,5.893,0.9232,6.816,0,3.1234,0,0
0.168,6.016,0.9422,6.958,0,3.1894,0,0
0.169,6.138,0.9615,7.1,0,3.2535,0,0
0.17,6.259,0.981,7.24,0,3.316,0,0
0.171,6.377,1.001,7.377,0,3.374,0,0
0.172,6.492,1.02,7.512,0,3.432,0,0
0.173,6.604,1.04,7.644,0,3.484,0,0
0.174,6.713,1.06,7.773,0,3.533,0,0
0.175,6.82,1.08,7.9,0,3.58,0,0
0.176,6.925,1.1,8.025,0,3.625,0,0
0.177,7.028,1.12,8.148,0,3.668,0,0
0.178,7.128,1.14,8.268,0,3.708,0,0
0.179,7.225,1.16,8.385,0,3.745,0,0
0.18,7.32,1.18,8.5,0,3.78,0,0
0.181,7.412,1.2,8.611,0,3.812,0,0
0.182,7.501,1.219,8.72,0,3.844,0,0
0.183,7.586,1.239,8.826,0,3.869,0,0
0.184,7.67,1.259,8.929,0,3.893,0,0
0.185,7.75,1.28,9.03,0,3.91,0,0
0.186,7.828,1.302,9.129,0,3.922,0,0
0.187,7.903,1.324,9.227,0,3.931,0,0
0.188,7.977,1.346,9.323,0,3.939,0,0
0.189,8.049,1.368,9.417,0,3.945,0,0
0.19,8.12,1.39,9.51,0,3.95,0,0
0.191,8.19,1.411,9.601,0,3.957,0,0
